quoted_title,context,author,abstract,date
TRAFİK SORUNUNA BİR ÇÖZÜM ÖNERİSİ TRAFİK İZLEME BAŞKANLIĞI,"üne, sürekliliğine ve kararlılığına dayanmaktadır [2]. Trafik güvenliği kapsamında uygulanan belirli ye","MAHMUTOĞLU, Abdulkadir
                        ","Trafik problemi; ekonomik gelişmişlik, ahlaki değerler, insani tutum ve davranışlarla açıklanabilir bir konudur. Bu problem, her koşulda daha çok teknoloji kullanılarak çözümlenebilir. Modern ve uygar bir trafik sistemi, yüksek bir teknoloji ile araçlardan ve yollardan alınan veriler kullanılarak medeni sürücüler ve modern bir teknolojik altyapı ile gerçekleştirilebilir. Bu sebeple Trafik İzleme Başkanlığı gibi bir kurum oluşturulmalıdır",
TRAFİK SORUNUNA BİR ÇÖZÜM ÖNERİSİ TRAFİK İZLEME BAŞKANLIĞI," construction of viable systems of transportation (Mahmutoğlu & Çukurçayir, 2012;Zeydanli, 2015). A failure to do this is partly du","MAHMUTOĞLU, Abdulkadir
                        ","Trafik problemi; ekonomik gelişmişlik, ahlaki değerler, insani tutum ve davranışlarla açıklanabilir bir konudur. Bu problem, her koşulda daha çok teknoloji kullanılarak çözümlenebilir. Modern ve uygar bir trafik sistemi, yüksek bir teknoloji ile araçlardan ve yollardan alınan veriler kullanılarak medeni sürücüler ve modern bir teknolojik altyapı ile gerçekleştirilebilir. Bu sebeple Trafik İzleme Başkanlığı gibi bir kurum oluşturulmalıdır",
Kamu Alımlarında Etiğin Güçlendirilmesi Türkiye’nin Merkezi Satın Alma Kurumu Olarak Devlet Malzeme Ofisi Üzerine Bir İnceleme,"e üç tedarik yöntemi uygulanarak karşılanmaktadır (Demiryürek Ürper, 2019). DMO, faaliyet alanına giren mal ve hizmet grupla","DEMİRYÜREK ÜRPER, Tuba
                        ","Karmaşık ve hassas tedarik süreçlerinden oluşması nedeniyle kamu alımları, hata ve yolsuzluk risklerinin çok yüksek olduğu alanların başında gelmektedir. Kamu alımlarında uyulması gereken etik ilke ve davranışların belirlenmesi ve uygulamaya geçirilmesi, güven duyulan, temiz ve dürüst bir yönetimin tesis edilmesi kadar, kamu kaynaklarının etkin ve verimli kullanılması ve kararlaştırılmış ekonomik ve sosyal politikaların hayata geçirilmesi açısından da büyük önem taşır. Kamu alımlarındaki yüksek riskler ve bu risklerin muhtemel sonuçları ile mücadele etmenin en etkili yöntemlerinden biri, tedarik süreçlerinin merkezi satın alma kurumları aracılığıyla yönetilmesidir. Bu kurumlar, sahip oldukları deneyim ve uzmanlığın yanı sıra geliştirdikleri yöntem ve araçlarla kamu alımlarında etiğin sağlanması için uygun bir zemin sunmaktadırlar. Türkiye’de bu amaçla 1926 yılında kurulan Devlet Malzeme Ofisi, günümüze dek elde ettiği deneyim, kurum kültürü ve uzmanlaşmanın yanında, özellikle son yıllarda gerçekleştirdiği elektronik dönüşüm ve diğer uygulamalarıyla kamu alımlarında etiğin tesis edilmesinde önemli işlevler üstlenmektedir.Bu çalışma, kamu alımlarında etiğin ve etik tedarikte merkezi satın alma kurumlarının önemini ortaya koyarak, Türkiye’nin merkezi satın alma kurumu olan Devlet Malzeme Ofisi’nin bu alandaki ilke ve uygulamaları ile kamu alımlarında etik ilkelerin hayata geçirilmesindeki rolünü ortaya koymayı amaçlamaktadır",
Kamu Alımlarında Etiğin Güçlendirilmesi Türkiye’nin Merkezi Satın Alma Kurumu Olarak Devlet Malzeme Ofisi Üzerine Bir İnceleme,"içindeki payının artırılması son derece önemlidir (Demiryürek Ürper, 2019).","DEMİRYÜREK ÜRPER, Tuba
                        ","Karmaşık ve hassas tedarik süreçlerinden oluşması nedeniyle kamu alımları, hata ve yolsuzluk risklerinin çok yüksek olduğu alanların başında gelmektedir. Kamu alımlarında uyulması gereken etik ilke ve davranışların belirlenmesi ve uygulamaya geçirilmesi, güven duyulan, temiz ve dürüst bir yönetimin tesis edilmesi kadar, kamu kaynaklarının etkin ve verimli kullanılması ve kararlaştırılmış ekonomik ve sosyal politikaların hayata geçirilmesi açısından da büyük önem taşır. Kamu alımlarındaki yüksek riskler ve bu risklerin muhtemel sonuçları ile mücadele etmenin en etkili yöntemlerinden biri, tedarik süreçlerinin merkezi satın alma kurumları aracılığıyla yönetilmesidir. Bu kurumlar, sahip oldukları deneyim ve uzmanlığın yanı sıra geliştirdikleri yöntem ve araçlarla kamu alımlarında etiğin sağlanması için uygun bir zemin sunmaktadırlar. Türkiye’de bu amaçla 1926 yılında kurulan Devlet Malzeme Ofisi, günümüze dek elde ettiği deneyim, kurum kültürü ve uzmanlaşmanın yanında, özellikle son yıllarda gerçekleştirdiği elektronik dönüşüm ve diğer uygulamalarıyla kamu alımlarında etiğin tesis edilmesinde önemli işlevler üstlenmektedir.Bu çalışma, kamu alımlarında etiğin ve etik tedarikte merkezi satın alma kurumlarının önemini ortaya koyarak, Türkiye’nin merkezi satın alma kurumu olan Devlet Malzeme Ofisi’nin bu alandaki ilke ve uygulamaları ile kamu alımlarında etik ilkelerin hayata geçirilmesindeki rolünü ortaya koymayı amaçlamaktadır",
TÜRKİYE YENİ ÜNİVERSİTELERİNE KAVUŞURKENTÜRKİYE&#039_DE YENİ ÜNİVERSİTELER VE KURULUŞ GEREKÇELERİ," issue of quality versus quantity (Altınsoy, 2011;Arap, 2010;Çetinsaya, 2014;Doğan, 2013;Ergüder, Şahin, Terzio","ARAP, Kavili Sultan
                        ", ,2014-07-31
TÜRKİYE YENİ ÜNİVERSİTELERİNE KAVUŞURKENTÜRKİYE&#039_DE YENİ ÜNİVERSİTELER VE KURULUŞ GEREKÇELERİ," academic, financial, and administrative problems (Arap, 2010). However, Karayalçın (1988) suggested a higher ed","ARAP, Kavili Sultan
                        ", ,2014-07-31
TÜRKİYE YENİ ÜNİVERSİTELERİNE KAVUŞURKENTÜRKİYE&#039_DE YENİ ÜNİVERSİTELER VE KURULUŞ GEREKÇELERİ,"ağlamak şeklinde sıralayabiliriz (Dörtlemez, 1995;Arap, 2010). Ancak üniversitelerin kurulma sebeplerinden en ö","ARAP, Kavili Sultan
                        ", ,2014-07-31
TÜRKİYE YENİ ÜNİVERSİTELERİNE KAVUŞURKENTÜRKİYE&#039_DE YENİ ÜNİVERSİTELER VE KURULUŞ GEREKÇELERİ,"ekonomisini canlandırma şeklinde ifade edilebilir (Arap, 2010). Tüm bu sebepler doğrultusunda; ülkemizde yüksekö","ARAP, Kavili Sultan
                        ", ,2014-07-31
TÜRKİYE YENİ ÜNİVERSİTELERİNE KAVUŞURKENTÜRKİYE&#039_DE YENİ ÜNİVERSİTELER VE KURULUŞ GEREKÇELERİ,"lgesel eşitsizlikleri gidermeye katkı sağlamaktır (Arap, 2010).","ARAP, Kavili Sultan
                        ", ,2014-07-31
TÜRKİYE YENİ ÜNİVERSİTELERİNE KAVUŞURKENTÜRKİYE&#039_DE YENİ ÜNİVERSİTELER VE KURULUŞ GEREKÇELERİ," academic, financial, and administrative problems (Arap, 2010). Despite these arguments, new public universities","ARAP, Kavili Sultan
                        ", ,2014-07-31
